,X,StateAbbr,CityName,GeographicLevel,PopulationCount,GeoLocation,CityFIPS,TractFIPS,ACCESS2,percentACCESS2,leastACCESS2,posACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DIABETES,HIGHCHOL,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PAPTEST,PHLTH,SLEEP,STROKE,TEETHLOST,Lat,Long,avgOutcome,sdOutcome,avgBehavior,sdBehavior,avgPrevent,sdPrevent,sdPHLTH,sdMHLTH,sdACCESS2,sdCANCER,sdMAMMOUSE,sdCOPD
1,2,AL,Birmingham,City,212237,"33.5275663773, -86.7988174678",107000,NA,21.4,three,0.731,78.6,32.6,11.4,45.9,70.5,6.1,11.4,7.6,77.3,74.4,62.7,9.4,30.3,27.9,22,49.1,16.1,35.4,3.3,31.7,79.7,17,39,80.1,18.3,46.9,5,25.9,33.52756638,-86.79881747,18,13.27221408,30.2,13.95761441,57.34,23.25416092,5.933097247,4.041444007,8.03,1.642719343,3.34845428,3.348359577
2,3,AL,Hoover,City,81619,"33.3767602729, -86.8051937568",135896,NA,10.2,one,0.1,89.8,25.3,15.7,31.9,63.8,6.8,8.2,5.4,73.9,77,73.6,5.3,42.3,42.2,13.2,72.7,7.7,35,2.2,17.8,82.1,10.8,24.7,86.3,10,34.6,2.2,9.5,33.37676027,-86.80519376,12.33076923,11.00252885,21.2,8.625833293,62.41,23.74655297,1.448754254,1.788588164,5.11,2.199720401,2.0855512,1.097640567
3,4,AL,Huntsville,City,180105,"34.6989692671, -86.6387042882",137000,NA,16.3,two,0.414,83.7,29.4,12.3,36.7,66.9,6.5,9.6,6.7,70.8,76.2,65.8,7.5,39.7,36.9,21.3,60.5,10.7,35.8,2.6,24.9,80,14,32,83.5,13.9,39.7,3.2,14.7,34.69896927,-86.63870429,14.71538462,11.72666805,26.04,10.42439447,59.66,21.77425595,4.510288031,4.088486261,8.96,2.220869093,3.587266585,2.529346211
4,5,AL,Mobile,City,195111,"30.6776248648, -88.1184482714",150000,NA,19.1,three,0.602,80.9,31.8,12.8,43,69.3,6.5,10.7,7.6,72.4,73.2,62.7,8.7,34.3,32.2,22,52.6,13.8,37.6,3.1,27.4,80.1,15.8,37.6,81.9,16.3,42.2,4.1,24.1,30.67762486,-88.11844827,17.16153846,13.06538292,28.4,11.83638458,57.78,22.15354499,5.723617265,3.932442104,8.66,1.446804494,2.672728979,3.28277953
5,6,AL,Montgomery,City,205764,"32.3472645333, -86.2677059552",151000,NA,18.5,three,0.575,81.5,31.4,12.2,40.6,70.3,6.4,10.8,7.2,75.2,75.1,63.3,8.6,32.1,27.7,21.3,57.1,13.3,36.9,3.1,27.9,80.2,15.5,36.8,83,16.2,41.3,4.1,21.2,32.34726453,-86.26770596,16.56153846,12.48022025,27.9,11.7134538,58.25,23.65211994,5.96109112,4.407024119,9.17,1.479818091,3.630916757,3.433409713
6,7,AL,Tuscaloosa,City,90468,"33.2336083951, -87.5268004073",177256,NA,18.5,three,0.576,81.5,32.3,12.1,40,69,6.5,10.9,7.4,74.3,74.4,64.2,9.1,36,33.7,23.2,56.4,13.6,38.7,2.9,28.6,79.8,15.9,38.5,81,16.6,41.4,4.1,20.6,33.2336084,-87.52680041,16.81538462,12.6710856,28.76,11.86520122,58.73,21.93500753,4.346359142,3.326284883,6.97,1.805023689,3.040008033,2.446680971
7,8,AK,Anchorage,City,291826,"61.149868731, -149.111113424",203000,NA,14.5,two,0.324,85.5,21.3,20.2,30.2,49,6.2,8.6,5,60.7,70.2,60.3,5,33.4,29,18.3,66,8.2,32.9,2.3,19.2,70.4,9.4,27.7,79.9,9.9,33.4,2.6,13,61.14986873,-149.1111134,11.89230769,10.02766686,23.76,6.552327831,53.34,21.24210703,2.214769827,1.82710973,5.33,1.176303632,3.255776529,1.14699138
8,9,AZ,Avondale,City,76238,"33.3858367405, -112.323626619",404720,NA,21.4,three,0.729,78.6,23,14.7,28.4,56,5.5,9.9,6.1,64.8,70.7,59,6.5,29.1,27.5,18.5,56.7,11,33.9,3.6,24.3,77.2,12.6,30.1,80.3,13.5,36.2,3.1,16.1,33.38583674,-112.3236266,13.32307692,9.698466704,24.76,8.660138567,54.27,21.20283262,4.108342268,2.598580198,10.81,0.863657781,3.975753897,1.588170556
9,10,AZ,Chandler,City,236123,"33.28318981, -111.852210033",412000,NA,12.3,one,0.197,87.7,21.2,16.2,26,54.8,6,9.1,5,66.1,72.8,67,5.3,34.5,35.2,15.3,68,7.7,33.1,3.1,17.4,80.3,10.2,24.5,83.5,9.7,32.9,2.4,9.9,33.28318981,-111.85221,11.43846154,9.411211263,21.26,7.450033557,57.45,23.04822239,2.346224444,2.014127485,6.43,2.413032025,2.71545784,1.546349938
10,11,AZ,Gilbert,City,208453,"33.310149392, -111.746237467",427400,NA,9.7,one,0.071,90.3,20.8,17.2,25.3,54.2,6.1,9,4.8,66.3,73.8,69,4.9,35.7,36.9,14.7,71.2,7.1,32.8,3,15.6,81.2,9.6,23.5,85,8.8,32,2.2,8.3,33.31014939,-111.7462375,10.97692308,9.354869841,20.6,7.241201558,58.3,23.96743161,1.096237827,0.859163323,1.91,1.491057519,1.137345838,0.95131488
